Ti mɛ̀ ɓɔ̀t yɛ̂m.	Ti me bot yem.
Ɓɔ̌t à ǹlɔ̂; ɓɔ̀ɓɔ̌t ɓa nlɔ̂; ɓɔ̀t yɛ̂m nunu; ɓɔ̀ɓɔ̀t yɛ̂m ɓa nlɔ̀.	Bot a nlo; bobot ba nlo; bot yem nunu; bobot yem ba nlo.
Ŋ̀waŋâk nsòa u nnɛ̀ ŋgandàk.	Ñwañak nsôa u nne ñgandak.
Dı̀kwài di mpùwɛ̀.	Dikwai di mpuwe.
Mǎn à ǹlɔ mê.	Man a nlo mé.
Mùnlom à yè lɛ mùnlom.	Munlôm a yé le munlôm.
À biōmna i kàndà bilɔ̀ɔ.	A biômna i kanda biloo.
Dı̀ɓas di mâŋ di nlɔ̄ŋ i jùu.	Dibas di mañ di nloñ i juu.
Kùmùl mùt nı̀ jɔ̀mɔ̂l.	Kumul mut ni jomol.
À nhēnd lɛ hyùhyuū.	A nhénd le hyuhyuu.
Mɛ̀ m̂ɓablà.	Me mbabla.
Mpom juu.	Mpôm juu.
Jàm ja gwèla = jàm li gagwèla.	Jam ja gwéla = jam li gagwéla.
Ŋgɔ̀k lı̀kas li ndap.	Ñgok likas li ndap.
Lı̀òŋ li edi lı̄āa.	Liôñ li édi liaa.
Dı̀mbɔ̀mà di nlɔ̂!	Dimboma di nlo!
Mɛ̀ ŋ̀kahal jɛ.	Me ñkahal je.
M̀ɓɔ ŋgāmbi à nlà sûgdɛ mindaŋ.	Mbo ñgambi a nla sugde mindañ.
Eŋa i ŋkɔŋ ması̂n.	Éña i ñkoñ masin.
Mɛ̀ yè nı̀ mbɔ̌m lām.	Me yé ni mbom lam.
Kòdòl ndap.	Kôdôl ndap.
Mbùdi pō ı̀ ǹtagɓɛ hana, mɛ̀ ǹyil yɔ ı̄ njı̀ŋ.	Mbudi pô i ntagbe hana, me nyil yo i njiñ.
Mùt à ŋ̀kap jaaŋgòlò ɓa nlɛ̂ŋ nyɛ̄.	Mut a ñkap jaañgôlô ba nleñ nye.
Ɓàa ɓàkwadɛ ɓa nhulâ?	Baa bakwade ba nhula?
Mùt à nhēp lɛ hɛ̀shɛ̀s inyùu ŋgàndàk ŋ̀gwee à ŋ̀kɛ̂.	Mut a nhép le heshes inyuu ñgandak ñgwéé a ñke.
Kɔ̀n u ńyèndhà.	Kon u nyéndha.
Mɛ̀ ǹniŋı̄ man.	Me nniñi man.
Mɛ̀ gwèe kààt ı̀ nhōla mɛ̀ i ɓàt màmbàdgà, yɔ̌n ı̀ yè mɛ̀ ɓèdel yɛ̂m.	Me gwéé kaat i nhôla me i bat mambadga, yon i yé me bédél yem.
Îni à ŋ̀kit ncà i wɔ̌m.	Ini a ñkit ntja i wom.
Kii ù mmı̀gdɛ i kòò?	Kii u mmigde i kôô?
Jɛ mùt yòmi.	Je mut yômi.
À biyùmul i tı̄sɔ̀n.	A biyumul i tison.
À yè ŋgı̀ŋgibà.	A yé ñgiñgiba.
Ŋ̀kuu unu u nlama ɓêdɓā (i) ŋgı̀i kɔ̄bɔ̀t.	Ñkuu unu u nlama bédba (i) ñgii kobot.
Hɔp u ɓayi jàm u nnɔ̀m ɓee.	Hop u bayi jam u nnom béé.
Ɓɛ̌k mɛ̀ kààt ı̀ ù gwèe hà.	Bek me kaat i u gwéé ha.
Ŋ̀wı̌wı̀bà à m̂ɓada mɔnı̄ i ɓɔ̀t.	Ñwiwiba a mbada moni i bot.
Cɛ̂p i ńyɔ̂glà.	Tjep i nyogla.
"..Lı̀sɛgɛ̀ li tuyɛ̂ li nlà ɓe hegà" Hòseà 2:1.	"..Lisege li tuye li nla bé héga" Hôséa 2:1.
Ɓanâl lep li ye kùnùl ŋgùn.	Banal lép li yé kunul ñgun.
Mɛ̀ mɓāŋɓa nɔp.	Me mbañba nop.
À ŋkɛ̀ jebjep ?.	A ñke jébjép ?.
Mɛ̀ m̂ɓeē nsɔn i ŋŋwɛ̀l wɔm.	Me mbéé nson i ññwel wom.
À ǹyilı̄s nyuu yeē tɔ̀ jàm.	A nyilis nyuu yéé to jam.
Dı̀ mpègɓa lɛ di lemel Ŋwɛ̌t (2Kɔ̀r.5,9).	Di mpégba le di lémél Ñwet (2kor.5,9).
Ndap ı̀ kwı̀hi.	Ndap i kwihi.
Mɛ̀ ǹhemb ɓasudɓeŋ.	Me nhémb basudbéñ.
Ndùgi ı̀ yè teedana bijɛk.	Ndugi i yé téédana bijek.
À yè ɓos mût!	A yé bôs mut!
À ǹtegēl mɛ̂ inyùu hı̀hòhà hyee.	A ntégél me inyuu hihôha hyéé.
Kii i ńyèŋgɓaha wɛ̂?	Kii i nyéñgbaha we?
Ɓana ɓòt ɓa nhanna nyɛ̂mb.	Bana bôt ba nhanna nyemb.
À ńyı̄ biɓòlo.	A nyi bibôlô.
Ɓa nsɔ̀mna dinɔ̀ɔ i mào.	Ba nsomna dinoo i maô.
Ɓa ŋkop nyɛ lı̀ɓu.	Ba ñkôp nye libu.
À ǹsiyha mɛ ŋgı̀m sɛ̀l mbɔt; dı̀ ǹsiyha mbɔt yes.	A nsiyha me ñgim sel mbot; di nsiyha mbot yés.
Nɔ̀ɔ̀dɛnɛ mɛ̀ unu ǹlamb.	Noodene me unu nlamb.
Mɛ̀ ǹsɔmb bitamb.	Me nsomb bitamb.
Ŋ̀kwadɛ à gwèe hɛ̀s, à nsòmbol ɓugı̂.	Ñkwade a gwéé hes, a nsômbôl bugi.
Ŋ̀udu à ŋ̀om malêt ŋgɔ̀k.	Ñudu a ñôm malét ñgok.
Ŋwayay mı̌s u tɛhɛ gwɔ̀m bi niŋı̄ wɛ̀ isı̄.	Ñwayay mis u tehe gwom bi niñi we isi.
Ŋ̀kɛŋee man u njɛ̄ mintɛ̌àk mi bijɛk.	Ñkeñéé man u nje minteak mi bijek.
Lɔ̀ɔ m̂paba!	Loo mpaba!
Ɓayeglà tòdò.	Bayégla tôdô.
Yɔ̌m i ŋkɛ̀ mmàl i nhɔ̄nɔ̂p .	Yom i ñke mmal i nhonop .
Kwalâl mı̌s.	Kwalal mis.
Mànyûŋ nyɛn à yè ǹtàp hana i Nyàòndɛ̀.	Manyuñ nyen a yé ntap hana i Nyaônde.
Mɛ̀ nhɔ̄gna ŋgwɔ yɛ̂m lep .	Me nhogna ñgwo yem lép .
Jǒp li ŋkɛŋɛ̂p nyɛ ŋgàndàk.	Jôp li ñkeñep nye ñgandak.
Ikède lòk Saŋgo Prɛ̀sbı̀terı̀ɛ̀n ɓa ye ŋ̀kùm wada.	Ikédé lôk Sañgô Presbitérien ba yé ñkum wada.
Mbɛ̀bi ı̀ nhùŋul ŋ̀ɔ mbɔk.	Mbebi i nhuñul ño mbok.
Waŋ mɛ̀ hı̀òndɛ̀ i yɛ̀ŋgɛɛ.	Wañ me hiônde i yeñgee.
Hı̀ɓɔmb hi mût .	Hibomb hi mut .
Ɓa kɛ̀na Mardokay miŋkōm.	Ba kena Mardôkay miñkôm.
Ndòy ı̀ nsànd kop.	Ndôy i nsand kôp.
Ɓɔ̀n ɓa nlama nogol ɓagwâl.	Bon ba nlama nôgôl bagwal.
Màsɛ̀ɛ ma lien ma nnyı̀ŋgha (i) mbɛ̀bi.	Masee ma lién ma nnyiñgha (i) mbebi.
À ǹtɔɔ mɛ̂ ı̀ kɛ̀ pam i wɔ̌m.	A ntoo me i ke pam i wom.
Yi lɛ mùt à ncàŋgɓɛnɛ ɓe mɛ̂.	Yi le mut a ntjañgbene bé me.
Wɛ̀ hyɔ̀nɛ hini ù yè lɛ ù ɓep mɛ̂?	We hyone hini u yé le u bép me?
Làna mɛ̀ màlep ma jɔgɔ̂p.	Lana me malép ma jogop.
Laŋ i ye hɔ̄ɔ̂p.	Lañ i yé hoop.
Kinjɛ̄ yàma ɓı̄gdi mût ı̂!	Kinje yama bigdi mut i!
Dı̀lɔ di sɔndɛ cɔ̄n dı̀ niigaga ɓôt lɛ̀n.	Dilo di sonde tjon di niigaga bôt len.
Mɛ̀ ǹjɛ ɓē mɛ̂, jɔn mɛ̀ ǹcêl ap malep.	Me nje bé me, jon me ntjél ap malép.
Jɛ hùhu nı̀ hı̀kɔ̀k.	Je huhu ni hikok.
Mùt m̂ɓàya ŋɔ.	Mut mbaya ño.
Mɛ̀ yè yàɓum i lôk sen.	Me yé yabum i lôk sén.
Mɛ̀ ganēiha nyɛ ŋ̀ɛm.	Me ganéiha nye ñem.
Mɛ̀ nsòmbol ɓa nhemlɛ̀ Nyambɛ̂.	Me nsômbôl ba nhémle Nyambe.
Mùdàa à mɓɔ̄hɔl baàm.	Mudaa a mbohol baam.
À ǹtee miŋkɔ̀ŋgɔ̀ mû mbɔt yee yɔsɔ̂ à ǹsiyâ.	A ntéé miñkoñgo mu mbot yéé yoso a nsiya.
Ɓɔnà liwanda je ɓa mɓɔlha lɛ̂n.	Bona liwanda jé ba mbolha len.
I ndèe mbǎm ùm ı̀ mɓām i hɔ̀ma ɓòt ɓa yê ndi mùt à sɛ̂hlà, wɛ̀ɛ à gwèe hı̀kòm.	I ndéé mbam um i mbam i homa bôt ba yé ndi mut a sehla, wee a gwéé hikôm.
Lı̀lâk li ŋgwɔ lini.	Lilak li ñgwo lini.
À m̂pulɛ lisɛ̄ɛ̂.	A mpule lisee.
Ɓa mpèni mût mànɔlâ.	Ba mpéni mut manola.
Ɓa mpèni mût mànɔlâ.	Ba mpéni mut manola.
Lòŋlɛ mɛ̀ mbɔt yɛ̂m.	Lôñle me mbot yem.
Kɛ̀na màsak i sūmbedge.	Kena masak i sumbédgé.
Ŋganda lùŋ u mpedı̂.	Ñganda luñ u mpédi.
Mɛ̀ ŋ̀kedel ɓɔ ŋgàndàk bı̀pià.	Me ñkédél bo ñgandak bipia.
Lı̀kɛ̀ŋ li mɓèna pam mùt à yèŋi tɔ̀ nu à yè hilɔ̄.	Likeñ li mbéna pam mut a yéñi to nu a yé hilo.
Higa maɔ̀k.	Higa maok.
Ɓàpègès ɓòt (Màn 5,6.	Bapégés bôt (Man 5,6.
Hyɔ̀bi hyɔmɛ̀dɛ hı̂.	Hyobi hyomede hi.
Ɓàluk màtoà ɓa mɓɔ̂mnà ɓa pɛgna mɔɔ.	Baluk matôa ba mbomna ba pegna moo.
Huu ɓūŋga yɔ̄ŋ, u naŋāl!	Huu buñga yoñ, u nañal!
Ŋ̀kɔ̀ŋ wap.	Ñkoñ wap.
Sùgà i mbās.	Suga i mbas.
Handy Mātɔy, Nwàlâl mi Likùnd, Nyǔnāy Lı̀ɓàm nı̀ Njɔ̀k Ɓòt ɓa kı̀ha ı̄ sǔglù Bibı̀à/Lòlòdɔrf i ŋwı̀i 1919.	Handy Matoy, Nwalal mi Likund, Nyunay Libam ni Njok Bôt ba kiha i suglu Bibia/Lôlôdorf i ñwii 1919.
Hı̀ŋgòn hi kop hi gweē sɔsɔ̄ ǹsòn.	Hiñgôn hi kôp hi gwéé soso nsôn.
Pondi ı̀ mɓı̄iŋgɛ biŋgiibı̀ŋgii.	Pôndi i mbiiñge biñgiibiñgii.
À ntı̄bil ɓôt nı̀ hyaŋhanjèk.	A ntibil bôt ni hyañhanjék.
Hɔ̀ŋgɔ̀ɔ̀ nyɛ̀mb .	Hoñgoo nyemb .
À mɓāp mɛ jɔ̌t.	A mbap me jot.
Bı̀pada bi ûm.	Bipada bi um.
Hı̀lòndɛ̀ hi ŋŋwàmlɛ i tān.	Hilônde hi ññwamle i tan.
Lı̀sɛbɛ̂l màkàbò.	Lisebel makabô.
Mɛ̀ nı̀ nyɛ dı̀ m̂ɓudlaha bipân.	Me ni nye di mbudlaha bipan.
Ù kɔ̀gɔɔ ɓâŋ mɛ̀ hâ.	U kogoo bañ me ha.
Sûdmàn ı̀ ǹlelel i bı̀kay.	Sudman i nlélél i bikay.
Lı̀ɓɔ̀mna li ɓôt ɓa ŋgadla lini.	Libomna li bôt ba ñgadla lini.
Hɛɛ à ǹnyoyôy?	Hee a nnyôyôy?
Ŋgàbà ɓum; yɛ̀m ŋgàbà ı̀ yè tidigi.	Ñgaba bum; yem ñgaba i yé tidigi.
Ɓòdàa ɓa nhɛ̀ɛ̀ hikɔ̀k nı̀ ŋgwaa.	Bôdaa ba nhee hikok ni ñgwaa.
Pada jɔmbɛ̂ yɔn mɛ̀ nsēlel i wɔ̌m.	Pada jombe yon me nsélél i wom.
Dı̀ mɓōdlana miŋɛm.	Di mbôdlana miñem.
M̀pèndà à tàɓee! .	Mpénda a tabéé! .
Mǎŋgòlò ma nhōolɛnɛ ndèè sèp.	Mañgôlô ma nhôôlene ndéé sép.
Bı̀lɔs bi komôl bi nlɛ̄ŋɛ̂l.	Bilos bi kômôl bi nleñel.
Mbɔt yɛ̂m ı̀ ŋ̀wâblà.	Mbot yem i ñwabla.
Tı̀ŋlɛnɛ mɛ̀ mı̀ŋkòò mi bitamb.	Tiñlene me miñkôô mi bitamb.
Kɛŋglɛ̀ mùt.	Keñgle mut.
Bı̀jò biɓaà ikède bı̄aâ.	Bijô bibaa ikédé biaa.
Njɛ̌l ı̀ ŋ̀kɔdɓɛnɛ i tēn jǒm.	Njel i ñkodbene i tén jôm.
Mùt ɓuga wɔɔ nunu à ńyı̄ sal ni wɔ̀ɔ wee ûmpɛ.	Mut buga woo nunu a nyi sal ni woo wéé umpe.
Lı̀ɓoonɛ li De Gaulle i gwèt bi 1939 li ye ŋgı̀sı̀.	Libôône li Dé Gaullé i gwét bi 1939 li yé ñgisi.
ı̀ Jɛ̂m lı̀tɛhgɛ̀ li ta ɓe kı̀kı̀i jɔ̄ŋ.	i Jem litehge li ta bé kikii joñ.
Yèsayà, yèrèmià, Èsekı̀ɛ̀l nı̀ ɓapɛ ɓa bikòs biùndnà.	Yésaya, yérémia, Ésékiel ni bape ba bikôs biundna.
M̀ɓàâm todò.	Mbaam tôdô.
Mɛ̀ ncāp cee.	Me ntjap tjéé.
Lı̀njı̀ŋgɛ̀ li kɔ̂n.	Linjiñge li kon.
À nimlaha ɓâŋ ɓɔ mu dinjɛ̀la di wɔm; mɔ̀ni ŋwes mi nnimlàhà.	A nimlaha bañ bo mu dinjela di wom; moni ñwés mi nnimlaha.
Màjò à nsèk ŋkògo.	Majô a nsék ñkôgô.
Kààt ı̀ nı̀ŋi m̂ɓamba; ŋgɔ̀k ı̀ yè m̂ɓamba.	Kaat i niñi mbamba; ñgok i yé mbamba.
Mǎn kɛ̄mbɛ̂ à ŋkɛ̀ à ncɛ̄da ni màɓuy.	Man kembe a ñke a ntjeda ni mabuy.
Màlêt wɛ̀m à mɓēghana ŋgandàk.	Malét wem a mbéghana ñgandak.
Ɛ i ńyōgôp.	E i nyôgôp.
Mùt à ŋàmdɛ ni hɔ̄p.	Mut a ñamde ni hop.
Màkòò ma ɓanigı̂l ma bisòbà.	Makôô ma banigil ma bisôba.
Tɔ̀ silı̂ŋ mɛ̀ gwèe hā ɓe mɛ̂.	To siliñ me gwéé ha bé me.
Mɛ̀ ǹnɔk kugukùgù ndòmlɛ mùt à njɔ̀ ɓɔ ŋwàa i tùŋ .	Me nnok kugukugu ndômle mut a njo bo ñwaa i tuñ .
Hemlɛ̀ Nyambɛ ı̄ ńyèmbel sâŋ.	Hémle Nyambe i nyémbél sañ.
Hı̀òndɛ̀ hyɔsonā.	Hiônde hyosôna.
Hɔp u segi.	Hop u ségi.
Hɔp u segi.	Hop u ségi.
Lı̀tibı̂l màtoà.	Litibil matôa.
Kòndɛ yı̀gyɛ nyɛ lɛ a lɔɔ̄.	Kônde yigye nye le a loo.
Ŋgɔ wɛ̀k kwɛs lɛ̄ mɛ̀ jɔ.	Ñgo wek kwes le me jo.
À yè mɓògà.	A yé mbôga.
Njɛɛ à ŋ̀wâgdɛ munu lipɛ̄p jɛ̂m?	Njee a ñwagde munu lipep jem?
À mɓɔ̀ŋ yat ni ŋ̀kùs we (Schürle).	A mboñ yat ni ñkus wé (Schürle).
À ŋ̀om nyɛ kūt lɛ kùs!	A ñôm nye kut le kus!
Mı̀nsaŋgaa mi nlɔ̀l.	Minsañgaa mi nlol.
À hèli nı̀ bı̀ɓɔ̀m.	A héli ni bibom.
À ńyùmbɛ ɓep nyɔ̂.	A nyumbe bép nyo.
"...Bı̀kògòò mbɛ̀bi ı̀ nhyūmûs" Hyèm 1:4.	"...Bikôgôô mbebi i nhyumus" Hyém 1:4.
Soŋ ı̀ ǹta.	Sôñ i nta.
Bı̀ɓàɓàndà bi nsı̀ya ŋŋɔ̄.	Bibabanda bi nsiya ñño.
Mbàs ı̀ni ı̀ yè holo; holo ŋɔ.	Mbas ini i yé hôlô; hôlô ño.
Lɔ̀ŋ yes nı̀ mı̀ntoŋ ŋwes mi sɔ nı̀ ŋgàndàk ɓàhemlɛ̀.	Loñ yés ni mintôñ ñwés mi so ni ñgandak bahémle.
Mbǎm ùm i kond wɛ̂ ù sɛ̂hlà wɛ̀ɛ ù gwèe lı̀ɓua.	Mbam um i kônd we u sehla wee u gwéé libua.
Kɛ̀ momos mànyûŋ.	Ke mômôs manyuñ.
Mòlol ma ntɔ̄y liɓàdò.	Môlôl ma ntoy libadô.
Sɔhɔ pala, ù ɓuuha(ha) ɓâŋ mɛ̀ .	Soho pala, u buuha(ha) bañ me .
Bı̀tindı̀ bi mɓay mɛ lı̀kè.	Bitindi bi mbay me liké.
À nsòmbol ɓebha ɓes wɛ̀.	A nsômbôl bébha bés we.
Ŋ̀kɛ̀kɛ̂ à nsɔ̀ŋɓa ni ŋgùy yèe yɔ̀sô.	Ñkeke a nsoñba ni ñguy yéé yosô.
À ŋkɛ̀ jwɛɛ̀.	A ñke jwee.
Bı̀ɓuk gwɛ̂m bi nhemlana ni ɓòt ɓɔɓasô.	Bibuk gwem bi nhémlana ni bôt bobasô.
Mɛ̀ yè nı̀ ɓɔ̌n ɓòlom ɓatân, mɛ̀ mɓɛ̀mb ɓakı̀ya ɓatân.	Me yé ni bon bôlôm batan, me mbemb bakiya batan.
Lı̀ɓàŋ li koy.	Libañ li kôy.
Ŋkend sibà.	Ñkénd siba.
Ɓɔ̀ŋ màsı̀mba.	Boñ masimba.
Nyambɛ à yè i ɓɔ̀ga.	Nyambe a yé i boga.
Màn wɛ̂m à nnyūŋul i ŋgèdà yèe.	Man wem a nnyuñul i ñgéda yéé.
Mànyûŋ à mɓɔ̀mb.	Manyuñ a mbomb.
Nyàgà ı̀ njɛ̄ bikay.	Nyaga i nje bikay.
lı̀sèee li matɔ̀p lini!	lisééé li matop lini!
Lı̀ɓɛ̀ŋɛ̀k à mɓɛ̀ŋ kɛmbɛ̂ i wɔ̌m wee.	Libeñek a mbeñ kembe i wom wéé.
Sày yɛ̂m maomaâ, ù tol ù ti kop.	Say yem maômaa, u tôl u ti kôp.
Ù ŋŋɛ̀ɛ̀ kii?	U ññee kii?
À ǹtolha mɛ̂ bı̀ɓòò bi bikı̀dà; dı̀ ǹtolha bijɛk gwes.	A ntôlha me bibôô bi bikida; di ntôlha bijek gwés.
Mɛ̀ ǹhola wɛ nı̀ jɛ̂m lı̀ɓim li bioŋol.	Me nhôla we ni jem libim li biôñôl.
Nɔ̀mba ŋwân.	Nomba ñwan.
Hı̀un hyɔŋ hi ntùga ɓe makidı̂k mɛ̂m.	Hiun hyoñ hi ntuga bé makidik mem.
Pɛ̀nɛl mɛ̀ mbɔt yɛ̂m ı̌.	Penel me mbot yem i.
Hibip hi mût.	Hibip hi mut.
Tɔ̀nɛ̀ à ǹtômlà; ù tòmla ɓâŋ mɛ̀.	Tone a ntômla; u tômla bañ me.
Lep u ŋkiglà.	Lép u ñkigla.
Njɛɛ à ŋ̀ɔdɔl wɛ còŋ?	Njee a ñodol we tjôñ?
Ŋ̀gwɔ ı̀ ŋkɔ̄ŋ hehı̄ i koy.	Ñgwo i ñkoñ héhi i kôy.
Jùbùl mùt yı̀ma (Bı̀ɓ 37,18).	Jubul mut yima (Bib 37,18).
Mɛ̀ ǹyɔp.	Me nyop.
Ǹtɛl mɛ̀ jɛ bı̀kùle mɛ̀ tà mɛ̀ waa ha ɓe ki gwɔ̄!	Ntel me je bikulé me ta me waa ha bé ki gwo!
Sal hònda.	Sal hônda.
Ɓudnɛ mɛ̀ bı̀jɛk gwɛ̂m.	Budne me bijek gwem.
Nɔ̌p à ŋ̀kunūs mɛ bı̀jɛk.	Nop a ñkunus me bijek.
Lı̀kàt ŋ̀kɔ̀ŋ.	Likat ñkoñ.
Hyɔ̀bi hi nhyōm (i) lēp.	Hyobi hi nhyôm (i) lép.
Mɛ̀ mpàgɓɛnɛ nyɛ gwɔ̌m inyùulɛ̄ à gwèe mɛ̀ mɔ̀ni.	Me mpagbene nye gwom inyuule a gwéé me moni.
À ǹyandap (i) njɛ̀l.	A nyandap (i) njel.
Kààt Nyambɛ ı̀ nnōgos likùm sɔ̀ŋ.	Kaat Nyambe i nnôgôs likum soñ.
I mùt nuu à mpɔ̄t ɓē, à yè pı̀i.	I mut nuu a mpot bé, a yé pii.
Lɔ̀ podhɛnɛ mɛ̀ bı̀njǎmùha.	Lo pôdhene me binjamuha.
Nyǒy i mɓɔ̀ŋ wee ni mbònjı̀ i biwàdà.	Nyôy i mboñ wéé ni mbônji i biwada.
Màŋgɛ à ŋkı̀s ɓɔɔ.	Mañge a ñkis boo.
Ù yùglaha ɓâŋ mɛ̀ yaŋan kɔgā.	U yuglaha bañ me yañan koga.
Mùdàa à nlɛ̀p nlom.	Mudaa a nlep nlôm.
Bı̀sàŋ biŋ́wehha nyɛ mbɔ̄t; ɓàudu ɓa ŋ́wehha bikààt gwap.	Bisañ biñwéhha nye mbot; baudu ba ñwéhha bikaat gwap.
À lı̀ten jɛ̂m, mɛ̀ m̂ɓɔ̂ŋ wɛ kı̄i?	A litén jem, me mboñ we kii?
Wɔnyuu wɔn u ntùgdaha nyɛ.	Wonyuu won u ntugdaha nye.
Mùdàa à ǹtêŋɓa wansı̀.	Mudaa a ntéñba wansi.
Ùbɛ̀ m̂ɓòŋ, nùga.	Ube mbôñ, nuga.
Ŋ̀ànɛ̀ ndap ǹlamb à ŋ̀weŋes ŋgandàk hı̀òndɛ̀.	Ñane ndap nlamb a ñwéñés ñgandak hiônde.
Nunu mùt à nhɛ̀ŋ ɓee; mbay ı̀ ǹhɛ̂ŋ joy; màŋgɛ nunu à ǹhɛ̂ŋ.	Nunu mut a nheñ béé; mbay i nheñ jôy; mañge nunu a nheñ.
Ɓěs dı̀ nnyı̀l ndigi ı̄ lūk.	Bés di nnyil ndigi i luk.
Hı̀wamdawamda lituba; hı̀wamdawamda njɛ̂l).	Hiwamdawamda lituba; hiwamdawamda njel).
Ǹsànâ u mimpek mi mɓòŋ i pōla ɓàtı̀ı̀mbà nùŋùl.	Nsana u mimpék mi mbôñ i pôla batiimba nuñul.
Ù ŋgwēs minjòhà lɛ!	U ñgwés minjôha le!
M̀paagɛ̀ mbɔt.	Mpaage mbot.
À ǹsegi tamb (i) ńyòl.	A nségi tamb (i) nyôl.
Tı̀ŋdɛ̀ màŋgɛ hindı̀ndiŋà.	Tiñde mañge hindindiña.
Ɓɔ̀ŋ lı̀pòyok.	Boñ lipôyôk.
Màkɔ̀ɔ ma ńyonol nyɛ ŋɔ̄.	Makoo ma nyônôl nye ño.
Ŋgǒy ı̀ ŋ̀gwelà.	Ñgôy i ñgwéla.
Mùt yɛ̀ŋgi nunu.	Mut yeñgi nunu.
Lı̀ndoŋgo li tee mɛ̀ i ŋɛ̄m wɔm.	Lindôñgô li téé me i ñem wom.
Mɛ̀ binı̄gil cɔ i wàa.	Me binigil tjo i waa.
Mɛ̀ gatı̄ joy jɔŋ lı̀pem mɓa ni m̂ɓa, ɓɔ̀ga nı̀ ɓɔ̀ga.	Me gati jôy joñ lipém mba ni mba, boga ni boga.
Ɓas hı̀ɓay hɔma(=sòŋa hɔ̀ma nû); ɓas dı̀ɓay.	Bas hibay homa(=sôña homa nu); bas dibay.
Lı̀jɛndɛ li mpàŋ.	Lijende li mpañ.
Ŋgɔ̀k ı̀ ŋ̀kwɔ lı̄ŋgɛ̄n lɛ cùt.	Ñgok i ñkwo liñgen le tjut.
Mùt à ntōp mpèà.	Mut a ntôp mpéa.
Mɛ̀ ńyı̄ ɓe jol jee.	Me nyi bé jôl jéé.
Lı̀tam li komôl, lı̀tam li kagā.	Litam li kômôl, litam li kaga.
Mǎn à ǹlama tibla kunda yada nı̀ mànyâŋ.	Man a nlama tibla kunda yada ni manyañ.
À ǹnolos koy inâ.	A nnôlôs kôy ina.
Nunu mùt à nsēep ni ŋkùs.	Nunu mut a nséép ni ñkus.
Nyàndom ı̄nı̄; nyàndom tàtâ.	Nyandôm ini; nyandôm tata.
Wı̌p u ye ɓeba ı̀ lɔ̀ɔ̀ njàgi.	Wip u yé béba i loo njagi.
Mɛ̀ yè ŋgi tɛhɛ ɓantùnjɔ̀k.	Me yé ñgi tehe bantunjok.
Mbɔmbɔ̀k nunu à mɓɔ̄ ŋgambi.	Mbombok nunu a mbo ñgambi.
Ŋ̀udu à nlɔ̀ɔ̀ ɓe malêt.	Ñudu a nloo bé malét.
À nlɛ̄m i kòò (makòò).	A nlem i kôô (makôô).
Ɓek yɛ̂m ŋkono i ye hɛ̄ɛ̄? (yɔɔ̄?).	Bék yem ñkônô i yé hee? (yoo?).
Mùt à ńyı̄ ɓolō.	Mut a nyi bôlô.
I[204] jɛ̂m lini.	I[204] jem lini.
Lɛglɛnɛ mɛ̀ hı̀ɓɛ̀ɛ malep.	Leglene me hibee malép.
Njèe ı̀ ǹsoglɛ mɛ mı̌s.	Njéé i nsôgle me mis.
Mɛ̀ mɓōnɓɛ ndiò.	Me mbônbe ndiô.
Màŋgɛ nuy à nhɛ̄hɛl hay i pāŋ jùu.	Mañge nuy a nhehel hay i pañ juu.
Kii ù nhègde hina (hana)?	Kii u nhégdé hina (hana)?
Bı̀ndɔ̀ɔ bi biɓuk.	Bindoo bi bibuk.
Lı̀ɓudlàk jap li bipân li nlɔ̄ŋ mao.	Libudlak jap li bipan li nloñ maô.
Ŋgɔ̀k lı̀sèbi.	Ñgok lisébi.
Inı̄ à m̂ɓegēl mɛ mɛ̂m màsoo.	Ini a mbégél me mem masôô.
Kèŋel mɛ̀ jɔ̌mb li hiòndɛ̀ .	Kéñél me jomb li hiônde .
Màɔ̀k ma nnùmb munu kùmba ini; pɔɔ yɔ̂ŋ ı̀ nnùmb.	Maok ma nnumb munu kumba ini; poo yoñ i nnumb.
Kalâk i ye lɔ̄ŋgɛ lı̄ɓam.	Kalak i yé loñge libam.
À nnōoma mɛ̂.	A nnôôma me.
Ɓɔ̀ŋgɛ ɓa ŋēdna hicɔ i mbɔ̄t.	Boñge ba ñédna hitjo i mbot.
À ǹnyɔgɓɛ i ɓɔ̀ŋ lɛ a tɛhɛ nyɔ̀nɔ.	A nnyogbe i boñ le a tehe nyono.
Bı̀kay bi mɓı̂nɓɛ̄ wɔm u mɓòŋ.	Bikay bi mbinbe wom u mbôñ.
Saŋgo Biɓehɛ̂ à ŋgwèlha ɓôt lı̀njas li biɛ gwēe le "Isenbeck".	Sañgô Bibéhe a ñgwélha bôt linjas li bie gwéé lé "Isénbétjk".
Kii ù ŋ́wàghana mɛ̂?	Kii u ñwaghana me?
Yɔ̀m yɔŋ iy.	Yom yoñ iy.
Kàà à mɓɔ̀ŋ biŋgat, à mɓı̄ip nten!	Kaa a mboñ biñgat, a mbiip ntén!
Mùt kilâ à ŋ̀kumûp !	Mut kila a ñkumup !
Bı̀tùmbɓà bi ye ɓànɔlga mɛ̂.	Bitumbba bi yé banolga me.
Mɛ̀ mɓèmbel nyɛ lɛ a sanɛ mɛ̀ kààt sǔglù.	Me mbémbél nye le a sane me kaat suglu.
Mɛ̀ ŋ̀kɛ ı̄ pēn ndāp.	Me ñke i pén ndap.
